recognize," vt. 认出,认可,承认,意识到,表示感激"
clump," n. 丛, 块, 沉重的声音
v. 用沉重的脚步行走，丛生，使成簇"
analysis," n. 分析, 解析"
than," conj.比（用于比较级）； 宁愿…而不愿； 除…以外； 一…就
prep.超过； 比"
deposit," vt. 存放, 堆积, 使沉淀
vi. 沉淀
n. 存款, 定金, 堆积物"
leader," n. 领袖, 领导者"
willing," adj. 愿意的, 心甘情愿的"
comment," n. 注释, 评论; 闲话
v. 注释, 评论"
rag," n.破布； 碎布； 破旧衣服； 碎片；（格调低下的）报纸，小报
vt.嘲笑，捉弄； 糟蹋，欺负； 指责，欺负人"
breed," n. 品种,族类
vt. 养育,繁殖,引起
vi. 繁殖"
smoothly," adv. 平滑地,流畅地,流利地"
mount," n. 山峰,乘用马,框,衬纸
vi. 增长,骑上(马)
vt. 提升,爬上,装备"
impatient," adj. 不耐烦的, 急躁的"
chop," n. 厚肉片,排骨,砍
vt. 剁碎,砍(价),切
vi. 砍"
airline," n. (飞机的)航线,航空公司"
magnet," n. 磁体,磁铁,有强大吸引力的人或物"
volcano, n. 火山
second-hand," adj. 旧的,用过的"
definitely," adj. 明确地, 确切地
adv. 肯定地"
dispose," vt. 倾向于,处置
vi. 销毁"
factory," n. 工厂, 制造场所"
extinct," adj. 灭绝的,熄灭的
n. 消灭,熄灭"
dye," n. 染料,染色
vt. 染
vi. 染色"
tempo," n. 拍子, 速率"
altogether, adv. 总共，完全
mortify," v. 抑制,苦修,使...悔恨"
misfortune," n. 不幸, 灾祸"
array," n. 数组,(陈)排列,大批,一系列
vt. 排列,布署,打扮"
microcomputer," n. 微电脑
[计算机] 微机计算机"
inch," n. 英寸
v. 慢慢前进,慢慢移动"
Africa, n. 非洲
hunter," n. 猎人，猎犬，猎马，搜寻者
Hunter: 亨特（姓氏）"
probable," adj. 很可能的
n. 很可能的事"
naive," adj. 天真的,幼稚的"
temperature," n. 温度,发烧"
used," adj. 使用过的, 二手的, 习惯的
v. 用, 以前曾经
vbl. 用, 习惯"
critic," n. 批评家, 评论家"
aspect," n. 方面, 外貌, 外观; 方位, 方向"
opera," n. 歌剧
n. 挪威Opera软件公司的浏览器软件"
pose," n. 姿势,姿态,装模作样
vt. 提出(问题),引起,定格
vi. 摆姿势,装模作样"
vast," adj. 广阔的,巨大的
n. 浩瀚的太空"
plantation, n. 种植园，大农场，殖民地
longitude, n. 经度
should," verb auxiliary. 应该,竟然,可能"
blunt," adj. 迟钝的,钝的,直接的
vt.& vi. 使变钝
n. 混了大麻的雪茄"
gigantic, adj. 巨大的
compact," adj. 紧凑的,紧密的,简洁的
v. 使装满,使简洁"
cheek," n.脸颊，脸蛋； 无礼而放肆的行为，厚颜； 半边屁股； 两侧相对的物体
vt.对…无礼地说话"
grain," n. 谷物, 谷类, 颗粒, 细粒, 纹理
vt. 用谷物喂养, 形成颗粒"
detain," vt. 扣留,拘押,耽搁"
divide," vt.& vi.分； 划分； 分离； （使）产生分歧
n.分水岭，分界线； 分配"
distance," n. 距离, 远方, 路程
vt. 与 ... 保持距离, 把(对手)甩在后面
adj. 远程(教育)的"
refusal," n. 拒绝, 回绝"
initiate," n. 创始人
adj. 新加入的
vt. 开始,创始,启蒙,介绍加入"
grammatical," adj. 语法的, 合乎文法的"
fighter," n. 战士, 好战者，战斗机"
monument," n. 纪念碑,历史遗迹"
extravagant," adj. 奢侈的,浪费的,过度的,大量的"
corridor, n. 走廊
attribute," n. 属性, 特征; 标志, 象征
vt. 归于, 属于"
disable, v. 使...失去能力
extreme," adj. 极度的,极端的,尽头的,严重的,末端的
n. 极端,极限"
lorry, n. 卡车
versus, prep. 对；与...相对；对抗
naught," pron. 无
n. 无，零
adj. 无用的"
critical, adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
convict," n. 囚犯,罪犯v. 使...确信自己犯错,宣告...有罪,使...知罪"
vine," n. 攀爬植物, 藤, 蔓"
scream," n. 尖叫声
v. 尖叫, 大笑"
folk," n.民族； 人们； 〈口〉家属，亲戚； 民间音乐
adj.民间的； 普通平民的； 流传民间的； 普通百姓的"
tube," n. 地铁,电子管,显像管,管,软管;电视"
suit," n. 套装, 诉讼, 请求
v. 适合, 取悦, 满足"
ingredient," n. 成分, 因素"
sparrow, n. 麻雀
host," n.[计算机]主机； 主人，东道主； 节目主持人； 酒店业主
vt.当主人； 主办宴会，主持节目； 款待，做东
vi.做主人，做东道主"
radar, n. 雷达
indirect," adj. 间接的, 迂回的，次要的，不坦率的，欺骗的"
inflation," n. 膨胀,通货膨胀"
entertainment, n. 娱乐
subject," n. 科目, 主题; 缘由
n. (君主国)国民; 实验对象
adj. 服从的, 易患的
vt. 使隶属, 使服从; 使遭遇"
obstinate," adj. 固执的, 倔强的，不易屈服的，（病）难治的"
postman," n. 邮递员
=mailman"
chance,"adj. n. 机会, 意外, 运气, 风险
vi. 偶然发生
vt. 偶然发生, 冒险
adj. 偶然的，意外的，碰巧的"
cabinet," n. 橱柜,内阁
adj. 私人的"
twentieth," n. 二十分之一
num.&amp;adj. 第二十"
hero," n. 男主角, 男主人公, 英雄"
heavily," adv. 很重地, 沉重地, 沉闷地"
awake," adj. 醒着的,警惕的
vt. 唤醒,唤起,激发
vi. 醒来,恢复意识"
mere,"adj. 纯粹的,仅仅的,只不过的"
thus," adv. 如此,这样,因此,从而
conj. 因此,于是"
weekday, n. 工作日
prejudice," n. 偏见,成见,伤害
v. 使...存偏见,使...有成见,伤害"
pirate," n. 海盗,盗印者,侵犯专利权者
vt. &vi. 侵犯版权,翻印,掠夺"
onion, n. 洋葱
schedule," n. 时间表, 一览表, 计划
vt. 安排, 计划, 预定, 编制目录"
rob," v. 抢劫
vi. 抢劫,盗窃
vt. 非法剥夺,使丧失,抢劫"
feasible," adj. 可行的,可能的"
crab," n. 蟹
v. 捕蟹，使横行
n. 爱争吵的人
n. [植]山楂子
v. 批评，抱怨"
average," n. 平均数,平均水平
adj. 一般的,通常的,平均的
vt. &vi. 取平均值，达到平均水平"
lobby," n. 大厅, 门廊, 门厅, 休息室, 游说议员者
v. 游说"
ear," n. 耳朵, 听觉, 倾听, 麦穗
vi. 长出麦穗"
zigzag," n. 曲折, 之字形
adj. 曲折的, 锯齿形的
adv. 曲折地, 成锯齿形地
vt. 使曲折
vi. 曲折前行"
prisoner, n. 囚犯
cabin," n. 船舱,机舱,小木屋
vt. 抑制
vi. 住在小屋"
southwest," n. 西南, 西南风, 西南地区
adj. 西南的, 来自西南方的
adv. 往西南, 来自西南"
cottage," n. 村舍, 小屋，小别墅"
conform," vt. 使一致,遵守,使顺从
vi. 一致,符合"
Latin," n. 拉丁民族的人,拉丁文,拉丁语
adj. 拉丁文的,拉丁人的,拉丁语的"
administration," n. 行政,管理,中央政府"
vision," n. 视觉,先见之明,光景,视力,眼力,幻想，影像
vt. 幻想"
keeper, n. 看守人，饲养员，保管人
opposite," adj. 相对的, 相反的, 对面的
n. 对立物，对立者，对手
adv. 在对面地，处于相反位置地
prep. 在...对面"
excellent," adj. 极好的,优秀的"
slight," n. 轻蔑
adj. 轻微的,纤细的,脆弱的
vt. 轻视,忽略"
incompatible," adj. 不相容的, 不能并存的, 矛盾的"
adventure," n. 冒险,奇遇
vt. 冒险,尝试
vi. 大胆进行,冒险"
painter, n. 画家
fuel," n. 燃料,木炭
vt. 供以燃料
vi. 加燃料"
classical," adj. 古典的, 典雅的, 经典的"
unpleasant," adj. 使人不愉快的, 讨厌的"
impartial," adj. 公平的, 不偏不倚的"
dictate," vi. 听写
vt. 口述,口授
n. 命令,指挥,指令"
buffet," n. 打击, 饮食柜台, 自助餐
vt. 打击, 连续猛击
adj. 受到非正式接待的(如同冷餐会般随意的)"
dig," v. 挖, 翻土"
censorship, n. 检查制度
biscuit, n. 饼干，姜黄褐色
orphan," n. 孤儿
adj. 无双亲的,孤儿的
vt. 成孤儿"
shadowy," adj. 有阴影的,  朦胧的，虚幻的"
split," n. 劈开, 裂片, 裂口
adj. 分散的
v. 分离, 分开, 劈开"
sorrow," n. 悲伤,伤心事
vi. 悲伤,惋惜,悔恨"
imitation," n. 模仿,效法
adj. 假造的,冒充的"
preliminary," n. 初步行动, 准备, 初步措施
adj. 初步的, 开始的, 预备的"
halt," n. 停止，中止; 暂停; 小火车站
vt. 使停止; 使中断; 阻止; 使立定
vi. 停止，立定; 犹豫"
hey, int. 嗨
procedure," n. 程序, 手续, 步骤; 常规的做法"
treason, n. 叛逆，通敌，背叛，叛国罪
notable," adj. 显著的, 著名的
n. 名人"
dialog," n. 对话, 对白
（美）=dialogue"
solemn," adj. 庄严的, 严肃的, 隆重的"
no," n. 不, 拒绝, 否决票
adj. 没有, 不是, 绝非
adv. 不"
forge," n. 熔炉, 铁工厂
vt. 锻造, 想出, 伪造, 构建
vi. 稳步(高速)前进, 制假"
excess," adj. 过量的,附加的
n. 超过,超越,过度,过量"
unpaid, adj. 未付款的
microprocessor," n.微处理器
[计算机] 微处理器"
advise," vt. 劝告,警告,通知
vi. 劝告,与...商量"
gallon, n. 加仑(容量单位)
pave," v. 铺设, 安排, 为...铺路"
Asian," adj. 亚洲的
n. 亚洲人"
Fahrenheit," adj. 华氏的
n. 华氏温度计"
native," adj. 本国的,本土的,出生地的,天生的
n. 本地人,土著人"
nail," n. 钉子,指甲
vt. 钉, 使牢固, 抓捕, 敲定"
value," n. 价值, 重要性, 价格, (pl)价值观
vt. 评价, 估价, 重视"
feast," n. 宴会,酒席,节会
vt. &vi. 款宴,享乐,请客"
kerosene, n. 煤油
gram," n. 克
abbr. 语法（=grammar）
suf. 写出或画出的东西"
perfect," adj. 完美的；最好的；精通的
vt. 使完美；使熟练
n. 完成式"
respectful," adj. 表示尊敬的, 有礼貌的, 谦恭的"
cheer," n. 愉快,激励,欢呼
vt. 加油,鼓舞,快活起来
vi. 使振奋,欢呼"
though," adv. 可是,然而,不过
conj. 尽管,虽然
prep. 但."
foundation, n. 基础；地基；基金会；根据；创立
congress, n. 国会；代表大会；会议；社交
variety," n. 多样, 种类, 杂耍"
toy," n. 玩具,小玩意儿
adj. 供玩耍的,体型小的
vi. 漫不经心地做,戏弄"
loop," n. 环,圈,弯曲部份,回路
vt. 使...成环,以圈结,以环连结
vi. 形成环,环形地行动"
skilled," adj. 有技能的, 熟练的"
verb, n. 动词
consume," vt.  消耗，毁灭，吃，喝, 挥霍
vi. 耗尽生命, 被烧毁"
shorten," v. 弄短, 变短"
invasion," n. 侵入, 侵略"
operational," adj. 操作的, 运作的"
crystal," adj. 清澈透明的, 晶体的
n. 水晶, 结晶"
carefully," adv. 小心地, 仔细地"
recruit," n. 招聘,新兵,新成员
vt.&vi. 恢复,补充,徵募"
fable, n. 寓言
topic," n. 题目, 话题, 主题"
circus," n. 广场,马戏团,马戏表演, 竞技场"
dramatic," adj. 戏剧性的,引人注目的,给人深刻印象的"
fructify," v. 结果实, 使结果多，使多产"
nourish," v. 滋养, 使...健壮, 怀有"
aural," adj. 耳的, 听觉的"
capital," n. 首都,资本,大写字母
adj. 大写的,资本的，首要的"
phrase," n. 短语,习语,个人风格,乐句
vt. 措词表达,将(乐曲)分成乐句(来演奏)"
there," adv.在那里； 那里； 在那一点上
pron.表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语）
int.（表示满足、烦恼）你瞧，好啦，得啦"
competent," adj. 有能力的,胜任的,足够的"
everyday," adj. 每天的,日常的
b.平常的日子"
refute, vt.驳斥，驳倒； 否认真实性
policeman, n. 警察
enclose," vt. 围绕, 圈起, 放入封套, 附上
[计算机] 括入"
reed," n. 芦苇, 芦笛,簧片
Reed：里德（姓氏）"
camel," n. 骆驼,浮船箱,浅黄棕色"
especial," adj. 特别的, 特殊的"
pedal," n. 踏板
adj. 脚的, 踏脚的
v. 用脚踏动, 踩踏板"
builder," n. 建立者，建筑工人
n. 增洁剂"
nut," n. 坚果,螺母, 螺帽,难对付的人(事)
vi. 采坚果"
distant," adj. 遥远的,疏远的，远房的，陌生的，远行的"
liberal," n. 自由主义者, 宽容大度的人, (Liberal)自由党人
adj. 无偏见的, 慷慨的, 不拘泥的, 宽大的, 开明的"
innumerable," adj. 无数的, 数不清的"
inspect," vt. 调查, 检阅
vi. 调查"
emission," n. 发射, 射出, 发行"
privacy," n. 隐私, 隐居, 秘密"
bibliography," n. (有关某一专题的)书目,参考书目"
dollar, n. 美元
evolution," n. 进化, 发展, 进展"
passage," n. 通道,走廊,一段文章,旅程
vi. 通过
vt. 通过"
culture," n. 文化,教养,种植
vt. 培养"
shorts, n. 短裤
strike," n. 罢工, 打击, 殴打
v. 打, 撞, 罢工, 划燃"
tiny," adj. 极小的,微小的"
drawer, n. 抽屉
burst," n. 破裂,阵,爆发
vt.&vi. 爆裂,突发"
sink," n. 接收端,沟渠,污水槽,散热器
vi. 下沉,下落,陷于,倾斜,恶化,渗透
vt. 下沉,陷于,倾斜,减少"
bowl," n. 碗, 物体的碗状部分, 季后赛, 圆形露天剧场
vi. 打保龄球, 快速移动
vt. 投球, 投球得分"
communicate," vt. 传达, 传播
vi. 交流, 沟通, 联通"
scorn," n. 轻蔑, 被叱责的人
v. 轻蔑, 不屑做"
exemplify," vt. 例证,例示"
unfortunate," adj. 不幸的, 令人遗憾的，不成功的
n.不幸的人"
clothing, n. (总称)衣服
powerful, adj. 强有力的
industry," n. 工业,产业,勤勉,刻苦"
withdraw," vt. 撤回,取回,撤退
vi. 退回,撤退"
robe," n. 长袍
v. (使)穿上长袍等"
optimistic," adj. 乐观的, 乐观主义的"
appeal," n. 恳求, 上诉, 吸引力
n. 诉诸裁决
v. 求助, 诉请, 呼吁; 有吸引力"
contribute," vt. 捐助,投稿
vi. 投稿,贡献,是原因之一"
reason," n. 理由,原因,理智,理性
vt. 说服,总结
vi. 规劝,下判断"
whole," adj. 整个的, 完全的, 未受损的, (人)全面发展的
n. 全部, 通常情况
adv. 完全地, 统一地"
goods," n. 货物, 商品"
dependent," adj. 附属的,依赖的,悬垂的
n. 受经济援助者"
trademark, n. 商标
tough," adj. 强硬的, 艰苦的, 棘手的, 严厉的
adv. 以强硬的态度
n. 暴徒; 恶棍"
division," n. 区分,分开,除法,公司,部门，师（军队里）"
mostly," adv. 大概, 大部份, 主要"
recommend," vt. 建议, 推荐, 劝告
vt. 使成为可取, 使受欢迎"
welcome," vt.欢迎； 乐于接受
adj.受欢迎的； 令人愉悦的； 表示感谢的
n.欢迎，迎接"
anchor," n. 铁锚
vt. &vi. 停泊,抛锚,用锚系住,担任（广播，电视新闻节目）的主持人"
manly," adj. 像男人的, 强壮的, 适于男人的
adv. 男子般地"
deceit, n.欺骗，诡计，不诚实
suppress," vt. 镇压,使...止住,禁止"
forward," adv.前进地； 向前； 至将来； 提前地
adj.向前方的； 迅速的； （社会、政治）进步的； 早熟的
vt.促进，助长； （按新地址）转寄； 发送
n.前锋"
imitate," v. 模仿
vt. 仿制,仿造,模仿,仿效"
package," n. 包裹,整批交易 
vt. 把...打包,把...进行推销"
flesh," n. 肉(体),人性
vt. 用肉喂,赋予血肉,使长肉
vi. 变胖"
slave," n. 奴隶, 完全受控制的人, 劳工, 从动装置
vt. 对另一种装置作出直接回应
vi. 拼命工作, 贩卖奴隶"
greenhouse," n. 温室, 暖房"
bite," n. 咬,一口,少量食物,咬伤的伤口
vt. 咬,刺穿(痛)
vi. 咬(饵),使剧痛,紧抓"
compartment," n. 间隔,个别室,卧车包房
vt. 把...分隔成几个包间"
arrival," n. 到达,达到,到达者"
director," n. 董事,经理,主管,指导者,导演"
margin," n. 差额,利润,页边空白,边缘
vt. 使围绕于,加边缘"
globe," n. 地球, 地球仪, 球体"
until," prep. 直到...为止
conj. 直到...时才..."
rectify," vt. 订正,矫正,改正"
makeup," n. 组成(接通, 补给, 修理), 化妆品"
trace," n. 痕迹,踪迹,微量
vt. 追踪,找出根源,描绘
vi. 追踪"
spear," n. 矛(正负电子对撞机)
vt 用矛刺"
bury, vt.埋葬，葬； 为…举行葬礼； 隐藏，埋藏，遮盖，掩蔽； 专心致志于，埋头于，沉溺于
resist," v. 抵抗, 耐得住, 压制
n. 保护膜"
license," n. 批准,许可证,特许
vt. 允许,特许"
rusty, adj. 生锈的
unemployment," n. 失业,失业人数"
popularity," n. 普及,流行"
file," n. 档案,公文箱,锉刀,[计算机] 文件
vt. 列队行进,归档,申请"
windy," adj. 有风的, 多风的"
that," pron. 那
adj. 如此的, 上文提到的, 特定的
adv. 非常
conj. 引导宾语从句等从句"
quench," v. 熄减, 结束, 冷浸, 解渴"
classification," n. 分类,分级"
infectious, adj. 传染的
button," n. 钮扣,徽章,像纽扣的东西,未成熟的蘑菇,按钮
vt. 用纽扣装饰,钉纽扣,闭嘴
vi. 扣上"
promise," n. 诺言, 约定, (有)希望，预示
v. 允诺, 约定, 预示, 有可能"
restriction," n. 限制,约束
vi. 结果,(作为结果)发生"
portion," n. 部分,份,命运
v. 将...分配,分配"
outstanding," adj. 突出的, 显著的, 未支付的"
waken," v. 唤醒, 醒来"
deficit," n. 赤字,不足，缺乏"
handful," n. 少数,一把,棘手之事
n. 【非正式用语】 难以控制的人或费劲的事"
intermediate," adj. 中级的,中间的
n. 中间体,媒介物, 调解人
vi. 调解, 干涉"
gently," adv. 轻轻地, 温柔地"
translation," n. 翻译, 译文"
afraid," adj. 害怕的, 担心的"
end," n. 结束,终点,目标,末端
vt.& vi. 结束,终结
adj. 最终的"
disguise," n. 假面目,伪装物,假装
vt. 假装,假扮,掩饰"
region," n. 地区,地域,地带,行政区"
chimney, n. 烟囱
emphasis," n. 强调,重点"
promote," vt. 促进, 提升, 升迁; 发起; 促销"
vacuum," n. 真空,空间,真空吸尘器
adj. 真空的,产生(利用)真空的
vt. &vi. 用吸尘器打扫"
wave," n. 波,波浪,波动
vi. 波动, 挥动, 起伏, 挥手
vt. 使成波形"
specialize," vi.专门从事； 专攻； 详细说明； 特化
vt.使专门化； 使适应特殊情况； 详细说明； 列举"
poise," n. 平衡,姿势,镇静,悬空
vt. 使...平衡,为...做准备,保持...姿势
vi. 做准备,盘旋"
speaker," n. 说话者, 发言者, 说某种语言者, 扬声器"
outcome, n. 结果
unbearable, adj. 无法忍受的
seat," n. 位子,所在地,中心
vi. 坐
vt. 使坐下,可容纳"
downtown," n. 市中心区,市中心
adj. 市中心的
adv. 往闹区"
repel," v. 逐退, 使...厌恶, 反驳"
bachelor," n. 单身汉, 学士"
neglect," n. 疏忽,忽略,怠慢
vt. 疏忽,忽视,不顾"
theft, n. 偷窃
ultimately," adv. 最后,最终"
seller, n. 售货者，畅销品
incapable," adj. 无能力的, 不胜任的"
discard," n. 丢牌,废牌
vt. 丢弃,抛弃
vi. 丢牌"
art," adj. 美术(品)的,艺术(品)的
n. 艺术, 技术, 阴谋, 美术"
excuse," n. 借口,理由；低劣的样品,假条
vt. 原谅,辩解,准许离开,同意赦免"
elite," n. 精华, 精锐, 中坚份子"
pearl," n. 珍珠
vt. 用珍珠装饰,像珍珠般洒落,形成珍珠状
vi. 形成珍珠状,寻找珍珠
adj. 像珍珠般的"
degenerate," adj. 堕落的
v. 退化, 堕落
[计算机] 退化"
ignorance, n. 无知
aloud," adv. 出声地, 大声地"
spokesman, n. 发言人
witness," vt. 目击,见证, 出席, 观察, 经历
n. 目击者,证人
vi. 为(宗教信仰)做见证, 证明"
complexity," n. 复杂，复杂性, 复杂的事物"
lightly, adv. 轻轻地，轻快地，轻蔑地，轻率地，轻微地
tease," vt.取笑，戏弄； 挑逗； 强要
vi.梳理（羊毛等）； 起绒
n.爱嘲弄他人的人； 取笑卖弄风骚的人"
pillow," n. 枕头
vt. 枕,搁,垫"
well-known," adj. 出名的,众所周知的"
plentiful," adj. 丰富的, 多的，充裕的"
displease, v. 使...不快，使...生气
cable," n. 电缆,海底电报
vt. 打海底电报,把...拧成缆,用缆捆住
vi. 打海底电报"
inner," adj. 内部的,里面的,内心的
n. 里面,内部"
percent," adj.& adv. 百分之一,(与基数词连用)百分之...
n. 百分之..."
optional," adj. 可以任选的,非强制的"
ruin," n. (pl.)废墟,毁灭
v. 毁坏,破坏
vi. (使)破产,毁灭
vt. 毁坏,毁灭"
sweeten," v. (使)变甜, 使愉悦, 净化"
ferry," n. 渡船,渡口
vt. 摆渡,运输
vi. 摆渡"
vanish," vi. 消失,不见了,绝迹
vt. 消失"
fireman, n. 消防队员，司炉工
brand," n. 燃烧的木条,剑,商标,牌子,烙印,类型
vt. 打烙印,污蔑,铭记"
jet," n. 喷气式飞机，喷射,喷出,黑玉大理石
vt. 射出，喷射
vi. 气流中喷出
adj. 煤黑色的"
explosive," adj. 爆炸(性)的
n. 炸药"
pickpocket," n. 扒手
v. 扒窃"
discuss, vt. 讨论
shorthand," n. 速记,缩写"
ensure," vt. 确定,保证,担保"
design," vt.& vi.设计； 绘制
vt.设计； 计划； 企图； 决意（做）
n.设计； 图案； 结构； 计划
vi.设计略图； （为工艺品、装潢项目等）设计； 当设计师； 构思"
canteen, n.小卖部； 食堂，小饭馆； 水罐； 餐具盒，炊具箱
frustrate," vt. 挫败,击败,破坏
adj. 无益的,挫败的,挫折的"
blackboard, n. 黑板
distinctly," adv. 清楚地，显然地, 明显地"
uncommon," adj. 不寻常的,不凡的,罕有的
adv. 非常地"
boast," n. 吹牛
vt. &vi. 吹牛,自夸"
watery," adj. 水的, 潮湿的, 淡的"
horsepower, n. 马力(功率单位)
shiver," vt. 颤动(碎裂)
n. 冷颤(碎块)"
coincide," v. 与...一致,符合,暗合"
yesterday, n.&amp;adv. 昨天
distort," vt. 变形,扭曲,歪曲
vi. 歪曲"
deduce," vt. 演绎,推断,溯源"
responsibility," n. 责任, 可信度，责任心"
introduction," n. 介绍, 引进, 导论, 序言"
glance," vi.一瞥； 闪微光； 掠过，擦过； 随便提到，简略地触及
n.浏览； 闪光； 歪斜，一掠"
hitherto," adv. 到目前为止, 迄今"
formal," adj. 正式的,形式的,礼节上的,拘谨的
n. 正式(活动)"
movement," n. 活动,运动,动作,移动"
semiconductor, n. 半导体
accordingly," adv. 因此,于是,如前所说 照着 相应地"
owe," v. 欠
vi. 欠钱
vt. 欠(债等),归功于,应感谢"
weekly," n. 周刊, 周报
adj. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
inn," n. 客栈, 小旅店"
priest," n. 教士, 神父"
overall," adj. 全部的, 全体的, 一切在内的
adv. 总的来说, 全部地
n. 防护服，罩衫"
characteristic," adj. 特有的, 典型的
n. 特性, 特征, 特色"
intercourse, n. 性交；交往；交流
colonist," n. 殖民地居民, 殖民者"
department," n. 部,部门,系"
lift," vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
partly, adv. 在一定程度上，部分地，不完全地
tight," adj. 紧的, 严厉的,密集的,紧身的,拮据的
adv. 紧紧地,牢固地, 迅速地"
pail, n. 提桶
tolerant," adj. 宽容的, 容忍的"
gaseous," adj. 气体的, 气态的"
tomb," n. 坟墓
vt. 埋葬"
hearty," adj. 诚恳的, 热烈的, 丰盛的，好胃口的
n. 水手"
descend," vt. &vi. 降,传,降临"
upper," adj. 上部的,地位较高的,上面的,北方的
n. 鞋帮,上牙,兴奋剂,令人愉快的经历"
modernization, n. 现代化
alloy," n. 合金
vt. 使...成合金, 搀以劣质, 减低成色, 影响或贬损
vi. 有合金能力"
slice," n. 薄的切片,一部份,锅铲
vt. 切成薄片,大幅降低"
integrity," n. 诚实, 正直, 完整, 完善"
million," n. 百万,(the millions)群众
adj. 百万的,无数的"
defense," n. 防卫, 防卫物, 辩护
vt. 防守"
vital," adj. 至关重要的, 生死攸关的, 有活力的, 充满生机的"
they, pron. 他们
sentence," n. 句子,意见,宣判,刑罚,命题
vt. 宣判,判决,使遭受"
beneficial," adj. 有益的,有利的"
strap," n. 绳, 皮带, 镣铐, 皮鞭
vt. 用绳索捆扎, 系住, 鞭笞, 磨快"
triangle, n. 三角(形)
sea," n. 海, 海洋"
lucky," adj. 幸运的,带来好运的"
firmly, adv. 牢牢地
lumber," n. 木材, 木料
v. 伐木
vi. 缓慢地移动
vt. 拖累"
complex," adj. 复杂的
n. 复合体"
journey," n. 旅程, 旅行, 行程
v. 旅行"
official," adj. 官方的,正式的,有权威的
n. 官员"
tire," n. 轮胎.金属圈
vt. 使疲倦, 厌烦
vi. 疲劳"
commission," n. 委任(状), 任官令; 委员会
n. 佣金; 犯罪行为
vt. 委任, 委托; 使服役"
ancient," adj. 古代的,古老的
n. 古人, 古货币"
flock," n. 一群,信众,软填料,短绒,棉絮,毛屑
vt. 塞填充料
vi. 成群而行,聚集"
affirmative," adj. 肯定的, 正面的
n. 肯定语, 赞成方面"
bankruptcy, n. 破产
instance," n.例子，实例； 情况； 要求，建议； [法]诉讼手续
vt.举…为例"
sympathetic," adj. 同情的,共鸣的
n. 交感神经"
true," adj. 确切的,可靠的,真实的,正确的,正式的
adv. 笔直地,事实地
n. 真相,精确
vt. 使...平衡"
use," n. 运用,用法,使用权,适用
vt. 使用,利用,对待
vi. 吸毒"
circuit," n. 电路,一圈,巡回
vt. &vi. 巡回"
rock," n. 岩石, 巨石, 摇滚乐, 篮球
vt. 摇动, 使震惊, 使动心
vi. 来回摇动, 跳摇摆舞"
tempt, vt. 诱惑；引起；冒…的风险；使感兴趣
deliberately," adv. 慎重地,故意地"
rhythm," n. 节奏,韵律"
space," n. 位置, 空间, 距离, 太空, 空地, 持续的一段时间
vt. &vi. 均匀隔开, 分隔"
stewardess," n. 空中小姐,女管理人,女管家"
taste," n. 味道,品味,味觉,尝试
vt. 尝到甜头, 尝试, 有...味道的
vi. 品尝, 体验"
leading," n. 领导, 疏导, 铅板
adj. 领导的, 主要的, 在前的
vbl. 领导, 引领, 以铅接合
[计算机] 行间空白"
total," adj.总计的（金额等）； 全部的； 完全的； 绝对的
n.总计，总数； 全体数量
vt.& vi.总计达，计算…的总数"
indignation," n. 愤怒, 愤慨, 义愤"
so-called, adj. 所谓的
pin," n. 大头针,针,拴,(有别针的)徽章,小东西,(复数)腿
vt. 将...用针别住,钉住,压住
adj. 别针的"
thrust," n. 推力,刺,力推
vt.& vi. 插入,推挤,刺"
turnip, n. 萝卜，芜菁，大头菜
leakage, n. 泄漏
emotional," adj. 感情的, 情绪的"
severely," adv. 严重地(艰难地, 紧凑地, 纯朴地)"
before," prep.在…之前； 先于，优于； 当着…的面； 与其…
conj.在…之前； 在…以前； 比…早些； 与其…
adv.先前，从前； 在前，在前方"
emergency," adj. 紧急的
n. 紧急情况,突发事件"
airplane," n. 飞机
=aeroplane(英）"
precisely, adv. 精确地
maybe," adv. 大概,也许
n. 不确定性"
manifest," n. 载货单,运货单,旅客名单
adj. 显然的,明白的
vt. 显示, 证实, 出示"
fabricate, vt. 制造；伪造；装配
snowy," adj. 多雪的, 被雪所覆盖著的, 下雪的"
safeguard," n. 保卫,保护措施或条款
v. 保卫,保护"
deliberate," adj. 故意的,深思熟虑的, 从容不迫的
vi. 仔细考虑
vt. 研讨"
progressive," adj. 前进的, 渐进的
n. 进步人士"
elder," adj. 年龄较大的, 年长的
n. 长者, 长辈"
health," n. 健康,卫生,保健"
principally, adv. 主要地
assess," v. 估定, 评定"
clothe," vt. 穿上, 覆上, 授以，赋予，表达"
survey," n. 调查; 纵览, 视察, 测量
vt. 审视, 视察, 通盘考虑, 调查; 勘测
vi. 测量, 勘测"
fund," n.基金； 储备； 现款； 特别基金管理机构
vt.积存； 为…提供资金； 提供资金偿付（债款等）的本息； 把（短期借款）转为有固定利息的长期借款"
reproduction," n. 再现, 复制, 生殖，幼树"
spur," n. 马刺, 刺激, 鞭策, 支脉, (公路或铁路的)支线, 
vt. 以马刺策(马)前进, 刺激, 激励, 给(马)装马刺"
mayor, n. 市长
historian, n. 历史学家，编史者
